query,matches
balliol_000051,oxford_000636 balliol_000066 oxford_002841 balliol_000085 oxford_000174 balliol_000075
balliol_000187,
balliol_000167,oxford_000636 balliol_000066 oxford_002841 balliol_000085 oxford_000174 balliol_000075
balliol_000194,oxford_000636 balliol_000066 oxford_002841 balliol_000085 oxford_000174 balliol_000075
oxford_001753,oxford_000636 balliol_000066 oxford_002841 balliol_000085 oxford_000174 balliol_000075
bodleian_000107,bodleian_000120 bodleian_000294 bodleian_000085 oxford_000901 bodleian_000258 bodleian_000198 bodleian_000208 bodleian_000077 bodleian_000165 bodleian_000264 bodleian_000173 bodleian_000067 oxford_002576 bodleian_000364 bodleian_000329 bodleian_000381 bodleian_000119 bodleian_000298 oxford_000308
oxford_002416,bodleian_000120 bodleian_000294 bodleian_000085 oxford_000901 bodleian_000258 bodleian_000198 bodleian_000208 bodleian_000077 bodleian_000165 bodleian_000264 bodleian_000173 bodleian_000067 oxford_002576 bodleian_000364 bodleian_000329 bodleian_000381 bodleian_000119 bodleian_000298 oxford_000308
bodleian_000108,bodleian_000120 bodleian_000294 bodleian_000085 oxford_000901 bodleian_000258 bodleian_000198 bodleian_000208 bodleian_000077 bodleian_000165 bodleian_000264 bodleian_000173 bodleian_000067 oxford_002576 bodleian_000364 bodleian_000329 bodleian_000381 bodleian_000119 bodleian_000298 oxford_000308
bodleian_000407,bodleian_000120 bodleian_000294 bodleian_000085 oxford_000901 bodleian_000258 bodleian_000198 bodleian_000208 bodleian_000077 bodleian_000165 bodleian_000264 bodleian_000173 bodleian_000067 oxford_002576 bodleian_000364 bodleian_000329 bodleian_000381 bodleian_000119 bodleian_000298 oxford_000308
bodleian_000163,bodleian_000120 bodleian_000294 bodleian_000085 oxford_000901 bodleian_000258 bodleian_000198 bodleian_000208 bodleian_000077 bodleian_000165 bodleian_000264 bodleian_000173 bodleian_000067 oxford_002576 bodleian_000364 bodleian_000329 bodleian_000381 bodleian_000119 bodleian_000298 oxford_000308
christ_church_000179,oxford_002888 christ_church_000400 christ_church_000279 christ_church_000976 christ_church_000718 christ_church_000435 christ_church_000623 christ_church_001070 oxford_001666 christ_church_000532 christ_church_000450 christ_church_000436 christ_church_000063 christ_church_000754 christ_church_000447 christ_church_000311 christ_church_000696 christ_church_000681 christ_church_000451 christ_church_000073 christ_church_000146 christ_church_000104 christ_church_000395 oxford_002858 christ_church_000366 christ_church_000932 christ_church_000911 christ_church_001045 oxford_000693 christ_church_000903 christ_church_000078 christ_church_000664 christ_church_001033 oxford_000158 christ_church_000549 christ_church_000673 christ_church_000333 christ_church_000035 christ_church_001142 christ_church_000376 christ_church_000787 christ_church_000190 christ_church_000061 christ_church_000228 christ_church_000198 christ_church_000308 christ_church_000212 christ_church_000802
oxford_002734,oxford_002888 christ_church_000400 christ_church_000279 christ_church_000976 christ_church_000718 christ_church_000435 christ_church_000623 christ_church_001070 oxford_001666 christ_church_000532 christ_church_000450 christ_church_000436 christ_church_000063 christ_church_000754 christ_church_000447 christ_church_000311 christ_church_000696 christ_church_000681 christ_church_000451 christ_church_000073 christ_church_000146 christ_church_000104 christ_church_000395 oxford_002858 christ_church_000366 christ_church_000932 christ_church_000911 christ_church_001045 oxford_000693 christ_church_000903 christ_church_000078 christ_church_000664 christ_church_001033 oxford_000158 christ_church_000549 christ_church_000673 christ_church_000333 christ_church_000035 christ_church_001142 christ_church_000376 christ_church_000787 christ_church_000190 christ_church_000061 christ_church_000228 christ_church_000198 christ_church_000308 christ_church_000212 christ_church_000802
christ_church_000999,oxford_002888 christ_church_000400 christ_church_000279 christ_church_000976 christ_church_000718 christ_church_000435 christ_church_000623 christ_church_001070 oxford_001666 christ_church_000532 christ_church_000450 christ_church_000436 christ_church_000063 christ_church_000754 christ_church_000447 christ_church_000311 christ_church_000696 christ_church_000681 christ_church_000451 christ_church_000073 christ_church_000146 christ_church_000104 christ_church_000395 oxford_002858 christ_church_000366 christ_church_000932 christ_church_000911 christ_church_001045 oxford_000693 christ_church_000903 christ_church_000078 christ_church_000664 christ_church_001033 oxford_000158 christ_church_000549 christ_church_000673 christ_church_000333 christ_church_000035 christ_church_001142 christ_church_000376 christ_church_000787 christ_church_000190 christ_church_000061 christ_church_000228 christ_church_000198 christ_church_000308 christ_church_000212 christ_church_000802
christ_church_001020,oxford_002888 christ_church_000400 christ_church_000279 christ_church_000976 christ_church_000718 christ_church_000435 christ_church_000623 christ_church_001070 oxford_001666 christ_church_000532 christ_church_000450 christ_church_000436 christ_church_000063 christ_church_000754 christ_church_000447 christ_church_000311 christ_church_000696 christ_church_000681 christ_church_000451 christ_church_000073 christ_church_000146 christ_church_000104 christ_church_000395 oxford_002858 christ_church_000366 christ_church_000932 christ_church_000911 christ_church_001045 oxford_000693 christ_church_000903 christ_church_000078 christ_church_000664 christ_church_001033 oxford_000158 christ_church_000549 christ_church_000673 christ_church_000333 christ_church_000035 christ_church_001142 christ_church_000376 christ_church_000787 christ_church_000190 christ_church_000061 christ_church_000228 christ_church_000198 christ_church_000308 christ_church_000212 christ_church_000802
oxford_002562,oxford_000866 christ_church_000400 christ_church_000626 christ_church_000222 christ_church_000758 christ_church_000402 christ_church_001039 christ_church_000757 oxford_000440 oxford_000351 christ_church_000645 christ_church_000314 christ_church_000829 christ_church_000996 christ_church_000820 christ_church_000372 oxford_000623
cornmarket_000047,oxford_003498 oxford_000601 cornmarket_000092
cornmarket_000105,oxford_003498 oxford_000601 cornmarket_000092
cornmarket_000019,oxford_003498 oxford_000601 cornmarket_000092
oxford_000545,oxford_003498 oxford_000601 cornmarket_000092
cornmarket_000131,oxford_003498 oxford_000601 cornmarket_000092
hertford_000015,hertford_000070 oxford_001085 oxford_000259 hertford_000035 hertford_000011 hertford_000056 hertford_000116 hertford_000091 oxford_001612 all_souls_000075 hertford_000077 balliol_000173 hertford_000076 hertford_000062 new_000228 hertford_000123 oxford_001189 hertford_000026 hertford_000034 oxford_001123 jesus_000320 oxford_002623 oxford_002505 hertford_000059 oxford_003543 hertford_000064 oxford_002336 hertford_000089 new_000150 bodleian_000226
oxford_001752,hertford_000070 oxford_001085 oxford_000259 hertford_000035 hertford_000011 hertford_000056 hertford_000116 hertford_000091 oxford_001612 all_souls_000075 hertford_000077 balliol_000173 hertford_000076 hertford_000062 new_000228 hertford_000123 oxford_001189 hertford_000026 hertford_000034 oxford_001123 jesus_000320 oxford_002623 oxford_002505 hertford_000059 oxford_003543 hertford_000064 oxford_002336 hertford_000089 new_000150 bodleian_000226
oxford_000317,hertford_000070 oxford_001085 oxford_000259 hertford_000035 hertford_000011 hertford_000056 hertford_000116 hertford_000091 oxford_001612 all_souls_000075 hertford_000077 balliol_000173 hertford_000076 hertford_000062 new_000228 hertford_000123 oxford_001189 hertford_000026 hertford_000034 oxford_001123 jesus_000320 oxford_002623 oxford_002505 hertford_000059 oxford_003543 hertford_000064 oxford_002336 hertford_000089 new_000150 bodleian_000226
hertford_000027,hertford_000070 oxford_001085 oxford_000259 hertford_000035 hertford_000011 hertford_000056 hertford_000116 hertford_000091 oxford_001612 all_souls_000075 hertford_000077 balliol_000173 hertford_000076 hertford_000062 new_000228 hertford_000123 oxford_001189 hertford_000026 hertford_000034 oxford_001123 jesus_000320 oxford_002623 oxford_002505 hertford_000059 oxford_003543 hertford_000064 oxford_002336 hertford_000089 new_000150 bodleian_000226
hertford_000063,hertford_000070 oxford_001085 oxford_000259 hertford_000035 hertford_000011 hertford_000056 hertford_000116 hertford_000091 oxford_001612 all_souls_000075 hertford_000077 balliol_000173 hertford_000076 hertford_000062 new_000228 hertford_000123 oxford_001189 hertford_000026 hertford_000034 oxford_001123 jesus_000320 oxford_002623 oxford_002505 hertford_000059 oxford_003543 hertford_000064 oxford_002336 hertford_000089 new_000150 bodleian_000226
keble_000245,oxford_002501
keble_000214,oxford_002501
keble_000227,oxford_002501
keble_000028,oxford_002501
keble_000055,oxford_002501
magdalen_000078,magdalen_000800 oxford_000167 magdalen_000449 magdalen_000072 magdalen_000545 oxford_000699 magdalen_000520 oxford_000605 magdalen_001027 magdalen_000506 oxford_001320 magdalen_000110 magdalen_000051 oxford_001349 magdalen_000000 magdalen_000809 magdalen_000374 oxford_000331 magdalen_000385 oxford_000718 magdalen_000446 magdalen_000053 magdalen_000504 magdalen_000363 magdalen_000320 magdalen_001155 oxford_002715 magdalen_000353 oxford_003273 magdalen_000592 oxford_002471 magdalen_000442 oxford_000719 magdalen_000014 magdalen_000941 magdalen_000503 magdalen_000783 magdalen_000818 magdalen_000001
oxford_003335,magdalen_000800 oxford_000167 magdalen_000449 magdalen_000072 magdalen_000545 oxford_000699 magdalen_000520 oxford_000605 magdalen_001027 magdalen_000506 oxford_001320 magdalen_000110 magdalen_000051 oxford_001349 magdalen_000000 magdalen_000809 magdalen_000374 oxford_000331 magdalen_000385 oxford_000718 magdalen_000446 magdalen_000053 magdalen_000504 magdalen_000363 magdalen_000320 magdalen_001155 oxford_002715 magdalen_000353 oxford_003273 magdalen_000592 oxford_002471 magdalen_000442 oxford_000719 magdalen_000014 magdalen_000941 magdalen_000503 magdalen_000783 magdalen_000818 magdalen_000001
magdalen_000058,magdalen_000800 oxford_000167 magdalen_000449 magdalen_000072 magdalen_000545 oxford_000699 magdalen_000520 oxford_000605 magdalen_001027 magdalen_000506 oxford_001320 magdalen_000110 magdalen_000051 oxford_001349 magdalen_000000 magdalen_000809 magdalen_000374 oxford_000331 magdalen_000385 oxford_000718 magdalen_000446 magdalen_000053 magdalen_000504 magdalen_000363 magdalen_000320 magdalen_001155 oxford_002715 magdalen_000353 oxford_003273 magdalen_000592 oxford_002471 magdalen_000442 oxford_000719 magdalen_000014 magdalen_000941 magdalen_000503 magdalen_000783 magdalen_000818 magdalen_000001
oxford_001115,magdalen_000800 oxford_000167 magdalen_000449 magdalen_000072 magdalen_000545 oxford_000699 magdalen_000520 oxford_000605 magdalen_001027 magdalen_000506 oxford_001320 magdalen_000110 magdalen_000051 oxford_001349 magdalen_000000 magdalen_000809 magdalen_000374 oxford_000331 magdalen_000385 oxford_000718 magdalen_000446 magdalen_000053 magdalen_000504 magdalen_000363 magdalen_000320 magdalen_001155 oxford_002715 magdalen_000353 oxford_003273 magdalen_000592 oxford_002471 magdalen_000442 oxford_000719 magdalen_000014 magdalen_000941 magdalen_000503 magdalen_000783 magdalen_000818 magdalen_000001
magdalen_000560,magdalen_000800 oxford_000167 magdalen_000449 magdalen_000072 magdalen_000545 oxford_000699 magdalen_000520 oxford_000605 magdalen_001027 magdalen_000506 oxford_001320 magdalen_000110 magdalen_000051 oxford_001349 magdalen_000000 magdalen_000809 magdalen_000374 oxford_000331 magdalen_000385 oxford_000718 magdalen_000446 magdalen_000053 magdalen_000504 magdalen_000363 magdalen_000320 magdalen_001155 oxford_002715 magdalen_000353 oxford_003273 magdalen_000592 oxford_002471 magdalen_000442 oxford_000719 magdalen_000014 magdalen_000941 magdalen_000503 magdalen_000783 magdalen_000818 magdalen_000001
pitt_rivers_000033,pitt_rivers_000115
pitt_rivers_000119,pitt_rivers_000115
pitt_rivers_000153,pitt_rivers_000115
pitt_rivers_000087,pitt_rivers_000115
pitt_rivers_000058,pitt_rivers_000115
radcliffe_camera_000519,radcliffe_camera_000342 all_souls_000110 radcliffe_camera_000139 radcliffe_camera_000116 radcliffe_camera_000130 radcliffe_camera_000337 radcliffe_camera_000234 radcliffe_camera_000473 radcliffe_camera_000345 radcliffe_camera_000326 oxford_002373 radcliffe_camera_000530 radcliffe_camera_000258 radcliffe_camera_000426 oxford_001122 radcliffe_camera_000155 oxford_003060 keble_000207 radcliffe_camera_000439 radcliffe_camera_000172 bodleian_000016 radcliffe_camera_000269 oxford_002905 radcliffe_camera_000362 radcliffe_camera_000015 radcliffe_camera_000463 oxford_003482 radcliffe_camera_000456 radcliffe_camera_000107 radcliffe_camera_000239 oxford_000741 radcliffe_camera_000416 radcliffe_camera_000298 keble_000108 radcliffe_camera_000373 radcliffe_camera_000289 bodleian_000301 oxford_003382 radcliffe_camera_000217 bodleian_000017 radcliffe_camera_000080 oxford_001278 radcliffe_camera_000016 radcliffe_camera_000324 oxford_003294 radcliffe_camera_000364 hertford_000017 radcliffe_camera_000390 radcliffe_camera_000429 radcliffe_camera_000160 radcliffe_camera_000100 radcliffe_camera_000092 radcliffe_camera_000248 radcliffe_camera_000036 radcliffe_camera_000171 radcliffe_camera_000053 oxford_000733 oxford_000905 radcliffe_camera_000183 radcliffe_camera_000340 radcliffe_camera_000477 radcliffe_camera_000447 radcliffe_camera_000235 radcliffe_camera_000027 radcliffe_camera_000072 radcliffe_camera_000330 radcliffe_camera_000442 radcliffe_camera_000240 radcliffe_camera_000083 radcliffe_camera_000335 radcliffe_camera_000025 oxford_002694 radcliffe_camera_000431 all_souls_000183 radcliffe_camera_000241 radcliffe_camera_000106 radcliffe_camera_000146 radcliffe_camera_000387 radcliffe_camera_000246 radcliffe_camera_000074 oxford_003327 oxford_003531 radcliffe_camera_000167 radcliffe_camera_000276 radcliffe_camera_000026 radcliffe_camera_000428 radcliffe_camera_000145 radcliffe_camera_000420 radcliffe_camera_000173 radcliffe_camera_000454 radcliffe_camera_000402 radcliffe_camera_000150 all_souls_000180 radcliffe_camera_000270 radcliffe_camera_000509 radcliffe_camera_000453 radcliffe_camera_000238 radcliffe_camera_000508 radcliffe_camera_000059 radcliffe_camera_000176 radcliffe_camera_000546 radcliffe_camera_000566 radcliffe_camera_000425 radcliffe_camera_000278 all_souls_000213 all_souls_000182 radcliffe_camera_000105 bodleian_000096 radcliffe_camera_000520 radcliffe_camera_000006 radcliffe_camera_000082 oxford_002260 radcliffe_camera_000209 radcliffe_camera_000470 radcliffe_camera_000219 radcliffe_camera_000457 bodleian_000395 bodleian_000036 oxford_003194 oxford_002083 oxford_003159 radcliffe_camera_000226 radcliffe_camera_000126 radcliffe_camera_000182 radcliffe_camera_000350 radcliffe_camera_000287 radcliffe_camera_000127 radcliffe_camera_000231 oxford_002397 radcliffe_camera_000443 radcliffe_camera_000190 radcliffe_camera_000043 oxford_001066 radcliffe_camera_000325 radcliffe_camera_000367 bodleian_000290 radcliffe_camera_000161 radcliffe_camera_000014 radcliffe_camera_000071 radcliffe_camera_000221 radcliffe_camera_000120 radcliffe_camera_000140 radcliffe_camera_000041 radcliffe_camera_000329 radcliffe_camera_000138 radcliffe_camera_000249 radcliffe_camera_000412 oxford_000583 radcliffe_camera_000218 radcliffe_camera_000021 radcliffe_camera_000417 radcliffe_camera_000481 radcliffe_camera_000338 radcliffe_camera_000522 radcliffe_camera_000085 radcliffe_camera_000259 radcliffe_camera_000255 radcliffe_camera_000147 bodleian_000168 radcliffe_camera_000475 radcliffe_camera_000404 radcliffe_camera_000542 bodleian_000337 radcliffe_camera_000029 bodleian_000410 radcliffe_camera_000220 radcliffe_camera_000406 bodleian_000465 radcliffe_camera_000064 radcliffe_camera_000349 oxford_001892 oxford_002890 radcliffe_camera_000228 radcliffe_camera_000128 radcliffe_camera_000052 radcliffe_camera_000166 oxford_000773 radcliffe_camera_000198 radcliffe_camera_000201 radcliffe_camera_000164 oxford_002510 radcliffe_camera_000533 radcliffe_camera_000310 radcliffe_camera_000040 radcliffe_camera_000381 radcliffe_camera_000034 radcliffe_camera_000230 oxford_003132 radcliffe_camera_000531 oxford_001614 radcliffe_camera_000458 radcliffe_camera_000394 radcliffe_camera_000405 radcliffe_camera_000366 radcliffe_camera_000253 radcliffe_camera_000400 radcliffe_camera_000419 bodleian_000076 radcliffe_camera_000137 radcliffe_camera_000012 radcliffe_camera_000108 radcliffe_camera_000408 radcliffe_camera_000437 radcliffe_camera_000076 radcliffe_camera_000035 radcliffe_camera_000539 radcliffe_camera_000343 radcliffe_camera_000115 oxford_002286 bodleian_000106 radcliffe_camera_000098 all_souls_000174 radcliffe_camera_000423 radcliffe_camera_000065 radcliffe_camera_000459 radcliffe_camera_000397 radcliffe_camera_000433 radcliffe_camera_000038 bodleian_000192 radcliffe_camera_000022 radcliffe_camera_000360 radcliffe_camera_000552 radcliffe_camera_000086 oxford_003069 radcliffe_camera_000361 radcliffe_camera_000050 oxford_000525 radcliffe_camera_000063 radcliffe_camera_000468 oxford_002701 radcliffe_camera_000047 radcliffe_camera_000163 radcliffe_camera_000004 oxford_000095 radcliffe_camera_000151 radcliffe_camera_000254 radcliffe_camera_000403 radcliffe_camera_000372 radcliffe_camera_000112 bodleian_000167 radcliffe_camera_000556 radcliffe_camera_000233 radcliffe_camera_000093 radcliffe_camera_000370 radcliffe_camera_000461 radcliffe_camera_000264 radcliffe_camera_000232 radcliffe_camera_000169
